,Date,Crime type,County,Amount
537,2003Q3,Weapon offences,Monaghan,6
538,2003Q3,Weapon offences,Offaly,5
539,2003Q3,Weapon offences,Roscommon,4
540,2003Q3,Weapon offences,Sligo,7
541,2003Q3,Weapon offences,Tipperary,19
542,2003Q3,Weapon offences,Waterford,44
543,2003Q3,Weapon offences,Westmeath,6
544,2003Q3,Weapon offences,Wexford,11
545,2003Q3,Weapon offences,Wicklow,18
546,2003Q4,Crimes affecting personal safety,Carlow,200
547,2003Q4,Crimes affecting personal safety,Cavan,359
548,2003Q4,Crimes affecting personal safety,Clare,406
549,2003Q4,Crimes affecting personal safety,Cork,1932
550,2003Q4,Crimes affecting personal safety,Donegal,793
551,2003Q4,Crimes affecting personal safety,Dublin,6160
552,2003Q4,Crimes affecting personal safety,Galway,766
553,2003Q4,Crimes affecting personal safety,Kerry,439
554,2003Q4,Crimes affecting personal safety,Kildare,665
555,2003Q4,Crimes affecting personal safety,Kilkenny,200
556,2003Q4,Crimes affecting personal safety,Laois,225
557,2003Q4,Crimes affecting personal safety,Leitrim,238
558,2003Q4,Crimes affecting personal safety,Limerick,1012
559,2003Q4,Crimes affecting personal safety,Longford,181
560,2003Q4,Crimes affecting personal safety,Louth,647
561,2003Q4,Crimes affecting personal safety,Mayo,519
562,2003Q4,Crimes affecting personal safety,Meath,420
563,2003Q4,Crimes affecting personal safety,Monaghan,359
564,2003Q4,Crimes affecting personal safety,Offaly,225
565,2003Q4,Crimes affecting personal safety,Roscommon,181
566,2003Q4,Crimes affecting personal safety,Sligo,238
567,2003Q4,Crimes affecting personal safety,Tipperary,579
568,2003Q4,Crimes affecting personal safety,Waterford,507
569,2003Q4,Crimes affecting personal safety,Westmeath,315
570,2003Q4,Crimes affecting personal safety,Wexford,383
571,2003Q4,Crimes affecting personal safety,Wicklow,527
572,2003Q4,Drug offences,Carlow,102
573,2003Q4,Drug offences,Cavan,107
574,2003Q4,Drug offences,Clare,59
575,2003Q4,Drug offences,Cork,706
576,2003Q4,Drug offences,Donegal,122
577,2003Q4,Drug offences,Dublin,1494
578,2003Q4,Drug offences,Galway,218
579,2003Q4,Drug offences,Kerry,98
580,2003Q4,Drug offences,Kildare,160
581,2003Q4,Drug offences,Kilkenny,102
582,2003Q4,Drug offences,Laois,57
583,2003Q4,Drug offences,Leitrim,35
584,2003Q4,Drug offences,Limerick,283
585,2003Q4,Drug offences,Longford,33
586,2003Q4,Drug offences,Louth,52
587,2003Q4,Drug offences,Mayo,32
588,2003Q4,Drug offences,Meath,74
589,2003Q4,Drug offences,Monaghan,107
590,2003Q4,Drug offences,Offaly,57
591,2003Q4,Drug offences,Roscommon,33
592,2003Q4,Drug offences,Sligo,35
593,2003Q4,Drug offences,Tipperary,174
594,2003Q4,Drug offences,Waterford,274
595,2003Q4,Drug offences,Westmeath,39
596,2003Q4,Drug offences,Wexford,104
597,2003Q4,Drug offences,Wicklow,86
598,2003Q4,Environmental offences,Carlow,59
599,2003Q4,Environmental offences,Cavan,98
600,2003Q4,Environmental offences,Clare,151
601,2003Q4,Environmental offences,Cork,848
